"","x","y","stem.density","basal.area","biomass"
"15768",532000,972000,181.64862776843,45.6601421518211,72771.8594601952
"15769",540000,972000,228.862823553642,46.8639602066323,61231.3379101213
"15770",548000,972000,113.806622805746,37.3129626266388,103659.6298326
"15771",556000,972000,154.652959548776,67.7474585256538,260111.4522603
"15772",564000,972000,169.453214410884,66.9047248804494,234706.909195295
"15773",572000,972000,184.424555823258,53.3944793701941,84361.725627783
"15774",580000,972000,224.276640118815,60.6136519505646,127993.747594728
"15775",588000,972000,143.270607773392,37.2647471195057,60663.3570893887
"15776",596000,972000,125.329334863447,42.3112765575286,157653.157054769
"15777",604000,972000,103.205058985239,38.5169427495936,113886.230860263
"15778",612000,972000,76.2326375211079,15.0273844817126,29513.9078158488
"15779",620000,972000,98.0415942972068,29.8218528736251,59333.8132504071
"15780",628000,972000,85.4483683986792,32.3106711170493,73323.1415337605
"15781",636000,972000,149.108073100394,43.9821463451735,74296.0398165139
"15782",644000,972000,136.188209816285,44.7067820843632,68968.729277128
"15783",652000,972000,230.540006121898,70.6703516600068,264110.429514751
"15784",660000,972000,347.770451860223,67.5908371931443,113804.839125736
"15785",668000,972000,243.550211708523,65.2599215437296,131116.169692799
"15789",7e+05,972000,362.22435026826,82.7150270105915,254363.668203259
"15790",708000,972000,161.402348297704,50.9447578465661,220665.948990478
"15806",836000,972000,486.760602332056,75.3687573283508,233459.717367763
"15807",844000,972000,375.61524772353,58.7962368707459,165740.380127697
"15808",852000,972000,335.847801844516,65.3755664937209,105335.509141241
"15809",860000,972000,367.936328874426,66.3826572822552,161739.367486969
"15810",868000,972000,239.359598893609,51.3726926077693,126510.203677372
"15811",876000,972000,222.878527878407,65.7884736083476,254262.455569567
"15812",884000,972000,270.488801346607,59.966184321006,127556.09213511
"15813",892000,972000,166.295647207201,41.6576581584979,94073.7235039207
"15814",9e+05,972000,137.649085221313,46.4830563131657,180527.175615725
"15815",908000,972000,181.690314927169,43.9264299391471,130955.050964008
"15816",916000,972000,134.06623728163,29.8706752830471,39760.2613256262
"15817",924000,972000,131.840697979909,49.8194680095131,164366.670071697
"15818",932000,972000,180.734336021722,46.0257000496984,108482.751057214
"15819",940000,972000,194.03688743052,53.8611592655246,424149.47809085
"15820",948000,972000,224.256758278368,54.3633763425476,105548.217194139
"15821",956000,972000,159.598178649742,32.97620527585,57319.7337220333
"15822",964000,972000,101.077468247843,26.1196228936352,43832.1178500007
"15823",972000,972000,156.962588270707,50.8603853543675,80060.2164627575
"15824",980000,972000,108.612208500754,27.7542584482062,46938.2883215939
"15825",988000,972000,115.040599140099,27.8123848053135,40228.1502103474
"15874",-44000,964000,0,0,0
"15875",-36000,964000,0,0,0
"15876",-28000,964000,0,0,0
"15877",-20000,964000,0,0,0
"15878",-12000,964000,0.856586167766264,0.0980927275998903,1000.04709278562
"15879",-4000,964000,0,0,0
"15880",4000,964000,0,0,0
"15881",12000,964000,0,0,0
"15882",20000,964000,0,0,0
"15883",28000,964000,0,0,0
"15884",36000,964000,0,0,0
"15885",44000,964000,0,0,0
"15886",52000,964000,0.688296413714444,0.145398539051169,1896.9726653309
