"","x","y","NonTree","Ashes","Birches","Tamarack","Pine","Fir","Elms","Maple","Cedar","Poplar","Basswood","Spruce","Oaks","Willow","Alder","Ironwoods","Walnuts","Hickory","Beech","Celtis","Cherries","Juniper","Rose Trees","Sycamore","Hardwood undif","Water","Hemlock","*******","Cornus","Buckeye"
"13832",708000,1060000,10,6,7,10,1,0,5,14,63,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"13833",716000,1060000,8,1,11,22,2,0,3,11,51,3,1,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,27,0,0,0
"13834",724000,1060000,9,1,23,17,20,0,1,14,15,2,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0
"13835",732000,1060000,21,0,9,8,6,0,0,19,27,0,0,9,0,0,2,0,0,0,10,0,0,0,0,0,0,0,37,0,0,0
"13836",740000,1060000,15,0,7,10,16,0,0,17,22,3,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,22,0,0,0
"13837",748000,1060000,8,2,7,16,66,0,0,7,5,3,0,21,1,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0,0,0
"13838",756000,1060000,18,1,9,35,16,0,1,2,29,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"13839",764000,1060000,5,0,4,39,38,0,0,0,23,2,0,22,0,0,1,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0
"13840",772000,1060000,11,2,7,9,33,0,0,11,18,1,0,16,0,0,0,0,0,0,20,0,1,0,0,0,0,0,19,0,0,0
"13841",780000,1060000,7,1,12,27,40,0,0,18,9,3,1,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0
"13842",788000,1060000,12,0,11,20,1,0,0,27,29,3,1,38,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
"13843",796000,1060000,15,0,11,3,3,0,0,31,69,0,2,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0
"13844",804000,1060000,13,0,15,24,3,0,0,7,31,3,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"13845",812000,1060000,13,7,15,5,0,0,0,18,46,0,0,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,0,0
"13846",820000,1060000,12,0,14,32,9,0,0,4,22,15,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0
"13847",828000,1060000,5,0,4,4,11,0,0,3,12,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"13848",836000,1060000,7,0,12,4,7,0,0,5,4,0,0,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,8,0,0,0
"13849",844000,1060000,26,3,10,10,3,0,0,6,22,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0
"13850",852000,1060000,21,0,10,16,2,0,0,12,14,1,0,14,0,0,3,0,0,0,53,0,0,0,0,0,0,0,4,0,0,0
"13851",860000,1060000,26,2,6,29,14,0,0,16,20,0,0,7,0,0,1,0,0,0,14,0,1,0,0,0,0,0,14,0,0,0
"13852",868000,1060000,33,1,16,9,7,0,0,16,24,0,0,3,0,0,1,0,0,0,8,0,0,0,0,0,0,0,22,0,0,0
"13853",876000,1060000,22,1,13,17,3,0,0,21,28,9,0,10,0,1,2,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0
"13854",884000,1060000,25,0,10,19,2,0,0,23,21,3,0,5,0,0,1,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0
"13855",892000,1060000,48,3,7,12,6,0,0,5,29,17,1,8,0,2,1,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0
"13856",9e+05,1060000,25,0,10,13,1,0,0,27,18,19,1,3,0,2,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0
"13857",908000,1060000,38,0,6,4,0,0,0,37,20,0,2,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0
